Municipalidade,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total,UF,Latitude,Longitude
ABEL FIGUEIREDO,,,43,36,,19,15,24,22,11,170,PA,-4.951390895531290,-48.396762125794400
AFUÁ,21,,,,,,,,,,21,PA,-0.159171693779796,-50.391427589233200
ÁGUA AZUL DO NORTE,27,,,13,,26,,46,13,,125,PA,-6.804948867405370,-50.485274507253100
ALMAS,,,,2,,,,,,,2,TO,-11.574523469447800,-47.174171684235800
ALTA FLORESTA,,,3,,,12,,,,,15,MT,-9.871722596619510,-56.091610440473700
ALTAMIRA,6,79,,8,33,,,7,,32,165,PA,-3.205659510000000,-52.214376305207800
ANANÁS,169,7,54,210,8,10,,,,,458,TO,-6.362818154100080,-48.079764606194800
ANAPU,,20,,,,,7,,,,27,PA,-3.476104635068680,-51.201621798458000
APIACÁS,,,,,,,,15,,,15,MT,-9.565495168724570,-57.395402241225500
ARAGOMINAS,,45,,,,,,,,,45,TO,-7.164349271443690,-48.523430192291700
ARAGUACEMA,,,,,,,,39,6,,45,TO,-8.801802544111140,-49.561812639607300
ARAGUAÇU,,,,,,,28,,,,28,TO,-12.925583711861600,-49.828612443278200
ARAGUAÍNA,8,49,4,6,,,19,,,,86,TO,-7.191328939654950,-48.208705251855800
ARAGUANÃ,54,,,,13,,,,,,67,TO,-6.582249420029190,-48.643749546943000
ARAGUATINS,,6,,,,,,,,56,62,TO,-5.650586472999950,-48.123507343029300
ARAPOEMA,,84,,101,5,,,,,,190,TO,-7.652569735419030,-49.075637385272100
ARAPUTANGA,,,,,,,6,,,,6,MT,-15.468144269668400,-58.348367151868200
ARIQUEMES,,,,,,,,1,6,,7,RO,-9.908462866567190,-63.033269278048300
AXIXÁ DO TOCANTINS,,,40,8,,,,,,,48,TO,-5.624309065927440,-47.774156032522100
BAIÃO,,,,,29,16,,,,,45,PA,-2.791961861361360,-49.672753373325200
BANDEIRANTES DO TOCANTINS,40,15,10,,,,,,33,,98,TO,-7.764859141253320,-48.578380604864300
BANNACH,33,,,,,,,,,,33,PA,-7.351072192424400,-50.406047121519500
BARREIRINHA,,,,,,19,,,,,19,AM,-2.798149836929790,-57.067750489893700
BOCA DO ACRE,,,,,,8,,,42,159,209,AM,-8.751243196093780,-67.399577756680500
BOM JESUS DO ARAGUAIA,15,,,,,,7,,,,22,MT,-12.173598343653100,-51.503639231862700
BOM JESUS DO TOCANTINS,,11,,,,14,10,,,,35,PA,-5.047362704320280,-48.599039959061400
BRASIL NOVO,,5,,80,,,,,,,85,PA,-3.297803704008370,-52.543441192278800
BRASILÂNDIA,,12,,,,,,,8,,20,TO,-8.384889351077990,-48.485374419123900
BRASNORTE,,24,,,47,,14,,4,,89,MT,-12.124938139880300,-58.002673627787100
BREJO GRANDE DO ARAGUAIA,5,,79,,15,6,,17,,,122,PA,-5.707296153836090,-48.405760422387300
BREU BRANCO,37,,,12,,35,,,,,84,PA,-3.778135412878670,-49.569879683285700
BUJARI,,,,,2,,9,,,,11,AC,-9.820019626709370,-67.951859279201400
CACAULÂNDIA,,,,,,,,,7,,7,RO,-10.338872839392800,-62.903189934568700
CÁCERES,,,,,,,5,,,3,8,MT,-16.074095630363600,-57.674762307218000
CACHOEIRINHA,,60,,,,,,,,,60,TO,-6.113241646504660,-47.914197778558900
CAMPO NOVO DOS PARECIS,,27,,,,,,,,,27,MT,-13.654733173202300,-57.888546478837100
CAMPOS DE JÚLIO,,,35,249,,,,,,,284,MT,-13.719923045640400,-59.263408520586200
CAMPOS LINDOS,20,,,,9,,,,,,29,TO,-7.971681394137310,-46.801974346706700
CANAÃ DOS CARAJÁS,,24,,,,,,,,,24,PA,-6.532196615629400,-49.848958431915300
CANARANA,8,,,,,,,,,,8,MT,-13.559229509583000,-52.273456863477500
CANTÁ,,,,,,,26,,,,26,RR,2.607666398416510,-60.602062847611200
CAPITÃO POÇO,,,,,,,6,,,,6,PA,-1.746187293237510,-47.062825377400800
CARIRI DO TOCANTINS,,,,,,5,,,,,5,TO,-11.888997463874400,-49.171040728988800
CARMOLÂNDIA,15,,,4,,,,,,,19,TO,-7.031478777861050,-48.395959930627400
CASEARA,,,,,,,274,,,,274,TO,-9.267406218903470,-49.948692267778700
CASTANHEIRA,,,,,10,,,,,12,22,PA,-1.295756805045240,-47.926643141944200
CEREJEIRAS,73,,,,,,,,,,73,RO,-13.195033032039900,-60.818426164681400
CHAPADA DA NATIVIDADE,,,,,,,,,27,,27,TO,-11.624267831362100,-47.753904891856400
CHAPADA DOS GUIMARÃES,,,,,,,,,11,,11,MT,-15.460569678908400,-55.745004517892000
CHUPINGUAIA,128,18,19,,,5,,,6,,176,RO,-12.556840761093800,-60.901847749955300
CLÁUDIA,,18,,,,,,,,,18,MT,-11.505310737648600,-54.874182447768700
COLINAS DO TOCANTINS,,,,,4,8,4,,,,16,TO,-8.054624675499950,-48.481594543748900
COLMÉIA,,,,,,,8,20,,,28,TO,-8.729371806818590,-48.757066585694700
COMODORO,,,,,,6,,,,,6,MT,-13.660559916982800,-59.790430994422000
CONCEIÇÃO DO ARAGUAIA,,,,,,,,4,11,,15,PA,-8.264863529999990,-49.264500812495600
CONCEIÇÃO DO TOCANTINS,,,,4,,12,,,6,,22,TO,-12.217277766965400,-47.292868810806900
CONCÓRDIA DO PARÁ,,,,,,15,,,,,15,PA,-1.984521462772750,-47.949886939004700
CONFRESA,272,,"1,013",,,7,55,,,,1347,MT,-10.640730577037600,-51.571033617861400
CORUMBIARA,63,,23,,,,,,,,86,RO,-12.997520236483400,-60.948701170661400
COTRIGUAÇU,,,,,,,,6,,,6,MT,-9.886253871529610,-58.606894971081700
CRISTALÂNDIA,,,,,,,,,,16,16,TO,-10.590724637117600,-49.186300291261100
CRIXÁS DO TOCANTINS,,,,,,,,,,7,7,TO,-11.104274293604200,-48.915513825647700
CUIABÁ,,,,,,,,,2,,2,MT,-15.569989013120600,-56.073252038191100
CUJUBIM,,,,,,,,,22,,22,RO,-9.378193399057120,-62.587174531920900
CUMARU DO NORTE,360,,,73,,,,15,,,448,PA,-7.811106536899260,-50.771578377513000
CURIONÓPOLIS,12,,,,,2,,,19,,33,PA,-6.096819952206660,-49.602214224950400
DARCINÓPOLIS,8,29,,,,,,,,103,140,TO,-6.712351001481750,-47.752161110279900
DIAMANTINO,,,,,1,,,,,,1,MT,-14.401322962164900,-56.433566081511900
DIANÓPOLIS,,,,,,,,,,9,9,TO,-11.625231878065000,-46.820409066943400
DOIS IRMÃOS,,,,,21,,,,,,21,TO,-9.261296709797110,-49.067338644272300
DOM ELISEU,64,49,102,129,,,,2,5,,351,PA,-4.290777720000000,-47.555914885993400
DUERÉ,,,,,,,,,,8,8,TO,-11.341285416779800,-49.265875916162800
ELDORADO DOS CARAJÁS,36,,,16,20,13,11,15,,,111,PA,-6.103525161071380,-49.373951942152200
FEIJÓ,,,,,,,,,7,,7,AC,-8.160247530000000,-70.353983608216500
FELIZ NATAL,,,,,15,20,,,,8,43,MT,-12.383247028174000,-54.933904066425400
FLORESTA DO ARAGUAIA,1,,,,,,,,,,1,PA,-7.558700872370070,-49.697578412237200
GOIANÉSIA DO PARÁ,77,34,178,45,28,38,36,27,19,1,483,PA,-3.842468000000000,-49.101044923742500
GUAJARÁ MIRIM,,,,,,,,,18,,18,RO,-10.773883740670400,-65.323951819692300
IGARAPÉ-MIRI,,,,,,,,,7,,7,PA,-1.983116000000000,-48.962299468946600
